"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"119","0ml-warm-neutrals-professional-ultimate","buena duracin","purva rajeshirke","buena pigmentacin variedad de colores",2024-01-10,4,"verified purchase"
"120","0ml-warm-neutrals-professional-ultimate","versatile palette with great neutral colour selection","sosso","love this palette with a great selection of brown and neutral tonesgood colour depth and blends well on eyelids lasting well with only a little amount of product needed",2023-09-20,5,"verified purchase"
"121","0ml-warm-neutrals-professional-ultimate",NA,"the pack that arrived had been opened and the middle brush was missing i sent it back straight away disappointing",NA,2023-05-02,4,"verified purchase"
"122","0ml-warm-neutrals-professional-ultimate","nice rich deep colors","product is good but poorly packaged","at a great price love all the choices easy to apply",2023-11-29,5,"verified purchase"
"123","0ml-warm-neutrals-professional-ultimate","sper recoendables",NA,"me gustaron muchos los tonos duran mucho y mejor si usas primer los tonos son muy neutrales y pero al utilizarlos pigmentan muy bien trae opciones mates y brillantes relacin costo  calidad sper bien adems ya tengo algo de tiempo con ellas usndolas diario y no se acaban todas las paletas de nyx son excelentes",2022-03-16,3,"verified purchase"
"124","0ml-warm-neutrals-professional-ultimate","qualit","mark wallace","palette de couleurs magnifiques qui tiens bien marque connue et de qualit",2024-02-11,5,"verified purchase"
"125","0ml-warm-neutrals-professional-ultimate","colorful bright and perfect for rainbow blending","judith g","no issues with the eyeshadow itself appeared unused but the case was extremely scratched i am sure someone else would have returned it for that reason",2023-08-10,5,"verified purchase"
"126","0ml-warm-neutrals-professional-ultimate","decepcionada ","coye raflin","the media could not be loaded                                                                                    es una paleta de sombras que ami me encanta pero me a llegado rota y el color azul d purpurina totalmente esparcido por la caja y mezclado con los dems colores",2023-12-17,5,"verified purchase"
"127","0ml-warm-neutrals-professional-ultimate","bon rapport qualit prix","optimusm","la palette est trs bien  les fards pigments et ont lair de bien tenir les couleurs sont super pour tous les jours cependant sur la photo du produit on nous montre le nouvelle version de la palette avec des dessins imprims et le nouveau nom warm neutrals or quand on la reoit cest lancien modlele colis est arriv intacte mais la palette ntait pas du tout protg",2023-06-26,5,"verified purchase"
"128","0ml-warm-neutrals-professional-ultimate","muy lindos colores","naomi","super mis expectativas los colores muy vivos y bellos la presentacin bonita y de buena calidad y lleg en perfecto estado",2023-12-22,4,"verified purchase"
